番号,俳句,季語,季節
128,禪寺に秋立つ壁の破れ哉,立秋,秋
129,旅の秋立つや最上の船の中,立秋,秋
130,旅人や秋立つ船の最上川,立秋,秋
131,風鈴のちろちろと秋の立にけり,立秋,秋
132,見て居れば見えて秋來る二本杉,立秋,秋
133,むく起や身ふるひ一つ今朝の秋,立秋,秋
134,秋立つや達磨の尻のくさりより,立秋,秋
135,秋來ぬと柱の拂子動きけり,立秋,秋
136,秋立つとさやかに人の目ざめけり,立秋,秋
137,秋立つと何を雀の早合點,立秋,秋
138,秋立つやどちらを見ても人の國,立秋,秋
139,秋立つやほろりと落ちし蝉の殻,立秋,秋
140,秋立つや昔に近き須磨の浦,立秋,秋
141,秋立てば淋し立ねばあつくるし,立秋,秋
142,秋立てば淋したゝねはあつくろし,立秋,秋
143,來る秋や昔に近き須磨の浦,立秋,秋
144,白雲に秋立つてまだ地は暑し,立秋,秋
145,秋立つかやゝ撫子のしどろなる,立秋,秋
146,秋立つとそよや嵐が吹いて來る,立秋,秋
147,秋立つと夏ぎらひの人申しけり,立秋,秋
148,秋立つと人の申しぬ笹の音,立秋,秋
149,秋立つとひとり上野の森に對す,立秋,秋
150,秋立つ日烏に魚を取られけり,立秋,秋
151,秋立つや隣にはまだ赤き花,立秋,秋
152,秋立つや隣にはまだ赤い花,立秋,秋
153,秋立つや隣の絲瓜庵の萩,立秋,秋
154,秋なんど立たずもがもな草の庵,立秋,秋
155,秋の立つ朝や種竹を庵の客,立秋,秋
156,今日の秋をあら何ともなの蝉の鳴きやうや,立秋,秋
157,砂濱や波さらさらと秋立ちぬ,立秋,秋
158,見てあれど何から秋が立つぞとも,立秋,秋
159,見てあれど何から秋のたつぞとも,立秋,秋
160,夜明から秋立つことかそのことか,立秋,秋
161,秋立つや瓜も茄子も老の數,立秋,秋
162,あて人の留守に秋來る都かな,立秋,秋
163,白き花赤き花秋立にけり,立秋,秋
164,草花を畫く日課や秋に入る,立秋,秋
165,初秋の月ほのかなり清見潟,初秋,秋
166,初秋を京にて見たり三日の月,初秋,秋
167,初秋に大事がらるゝ宿り哉,初秋,秋
168,初秋の馬洗ひけり最上河,初秋,秋
169,初秋の空から出たり帆掛船,初秋,秋
170,初秋の空より出たり帆掛船,初秋,秋
171,初秋の膝叩きたる噺かな,初秋,秋
172,初秋の一日さひしき暑さ哉,初秋,秋
173,初秋や梢に語る松つくり,初秋,秋
174,初秋や背戸を流るゝ最上河,初秋,秋
175,初秋や出羽商人の最合船,初秋,秋
176,初秋の石壇高し杉木立,初秋,秋
177,初秋の房州の雜魚くふて來よ,初秋,秋
178,初秋の柳が末の湯島かな,初秋,秋
179,初秋や三人つれだちてそこらあたり,初秋,秋
180,初秋の枕小き旅寝かな,初秋,秋
181,初秋の枕小さき旅籠かな,初秋,秋
182,初秋の簾に動く日あし哉,初秋,秋
183,初秋の日脚はひこむ朝寐かな,初秋,秋
184,初秋の枕小さき宿屋かな,初秋,秋
185,きのふけふはや初秋となりにけり,初秋,秋
186,初秋の蛸あはれなり須磨の浦,初秋,秋
187,初秋の筑波は隱すものもなし,初秋,秋
188,初秋の富士に雪なし和歌の嘘,初秋,秋
189,初秋や合歡の葉ごしの流れ星,初秋,秋
190,文月や神祗釋教戀無常,文月,夏
191,文月のものよ五色の絲素麺,文月,夏
192,文月や硯にうつす星の影,文月,夏
193,八月の筍あさる垣根かな,八月,秋
194,八月の蝶飛ぶ木曾の木立哉,八月,秋
195,八月や人無き茶屋の青楓,八月,秋
196,八月や晝だけ晴れて晝の月,八月,秋
197,八月や松嶋へ行く人問はん,八月,秋
198,八月や樓下に滿つる汐の音,八月,秋
199,八月を風に淡路の船がゝり,八月,秋
200,八月の太白低し海の上,八月,秋
201,うつくしき旭哉八月十五日,八月,秋
202,七夕に團扇をかさん殘暑哉,残暑,秋
203,相撲取に風のとゞかぬ殘暑哉,残暑,秋
204,乘合の馬車酒くさき殘暑かな,残暑,秋
205,家の向き西日に殘る暑さかな,残暑,秋
206,學校の此頃やすむ殘暑哉,残暑,秋
207,蚊の勢を又立て直す殘暑哉,残暑,秋
208,松風の價をねぎる殘暑哉,残暑,秋
209,莚帆の風に暑さの殘りけり,残暑,秋
210,晝過の町や殘暑の肴賣,残暑,秋
211,裏窓に夕日さしこむ殘暑哉,残暑,秋
212,草山に殘る暑さやまだらはげ,残暑,秋
213,砂濱や殘る暑さをほのめかす,残暑,秋
214,餞別に汗衫をもらふ殘暑哉,残暑,秋
215,岩寒し殘暑の空へ五十丈,残暑,秋
216,居風呂に殘暑の垢のたまりけり,残暑,秋
217,日の神の御病氣とやらこの殘暑,残暑,秋
218,日の神も御病氣とやら此殘暑,残暑,秋
219,殘暑の龜夜寒の鮭と相知らず,残暑,秋
220,蝉鳴て殘暑の頭裂くる思ひ,残暑,秋
221,晝門を鎖す殘暑の裸かな,残暑,秋
222,紅さした鯛に蠅飛ぶ殘暑哉,残暑,秋
223,瀧の音殘る暑さもなかりけり,残暑,秋
224,温泉に三度殘る暑さも晝の内,残暑,秋
225,殘暑燬如紫陽花の花腐りけり,残暑,秋
226,紫茉莉の花に殘暑の日影かな,残暑,秋
227,神鳴ノ鳴レトモ秋ノ暑サカナ,残暑,秋
228,病人ニ八十五度ノ殘暑カナ,残暑,秋
229,腹中にのこる暑さや二萬卷,残暑,秋
230,八朔や朝日靜かに稻の波,八朔,秋
231,八朔やあしのは輕し古鎧,八朔,秋
232,八朔や義理に顏出す梅の花,八朔,秋
233,浪人の尺八淋し田面の日,八朔,秋
234,草も木も竹も動くやけさの秋,今朝の秋,秋
235,傘持のひんと立たりけさの秋,今朝の秋,秋
236,けさの秋硯に筆のすべり哉,今朝の秋,秋
237,棕櫚の葉の手をひろけたりけさの秋,今朝の秋,秋
238,ふみつけた蟹の死骸やけさの秋,今朝の秋,秋
239,八重葎そよぐと見しやけさの秋,今朝の秋,秋
240,秋やけさ身ふるひしたるむら雀,今朝の秋,秋
241,骸骨に何やらひゞく今朝の秋,今朝の秋,秋
242,桐の葉を叩き落さん今朝の秋,今朝の秋,秋
243,今朝の秋扇のかなめ外れたり,今朝の秋,秋
244,劍賣て牛買ふ人や今朝の秋,今朝の秋,秋
245,どこやらに星の笑ひや今朝の秋,今朝の秋,秋
246,西吹くと水士のいふ也けさの秋,今朝の秋,秋
247,湖のひつそりとして今朝の秋,今朝の秋,秋
248,餅船のうしろ淋しやけさの秋,今朝の秋,秋
249,老僧が拂子動かず今朝の秋,今朝の秋,秋
250,今朝の秋腫物はものゝこそはゆき,今朝の秋,秋
251,酢をつくる僧はなひるよけさの秋,今朝の秋,秋
252,けさの秋きのふの物を取られけり,今朝の秋,秋
253,のゝしりし人静まりてけさの秋,今朝の秋,秋
254,箱庭の橋落ちこみぬけさの秋,今朝の秋,秋
255,刻みあげし佛に對す今朝の秋,今朝の秋,秋
256,塀ごしに腕出す松や朝の秋,朝の秋,秋
257,大砲の山行く秋の朝日かな,朝の秋,秋
258,砂の如き雲流れ行く朝の秋,朝の秋,秋
259,甲板に水流す秋の朝日哉,朝の秋,秋
260,裸体画ノ鏡ニ映ル朝ノ秋,朝の秋,秋
261,きさ潟の姿を見れば秋なりける,秋の姿,秋
262,八郎の姿を見れば秋なりける,秋の姿,秋
263,松一木根岸の秋の姿かな,秋の姿,秋
264,観念の耳の底なり秋の聲,秋の声,秋
265,破れ鐘や敲けども秋の聲ならず,秋の声,秋
266,われ鐘や敲けども秋の聲ならず,秋の声,秋
267,虚子に俗なし隣の三味に秋の聲,秋の声,秋
268,叩く時は叩かぬ時は秋の聲,秋の声,秋
269,初夜すぎし根岸の町や秋の聲,秋の声,秋
270,初夜過る根岸の町や秋の聲,秋の声,秋
271,撥音や上野をめぐる秋の聲,秋の声,秋
272,秋澄みたり魚中に浮て底の影,秋澄む,秋
273,秋澄むや貝鐘響く峰の雲,秋澄む,秋
274,秋高う入海晴れて鶴一羽,秋高し,秋
275,秋高う象かた晴れて鶴一羽,秋高し,秋
276,秋高し雲より上を鳥かける,秋高し,秋
277,秋高し鳶飛んで天に到るべう,秋高し,秋
278,秋高く魯西亞の馬の寒げなり,秋高し,秋
279,凱歌一曲馬嘶いて秋高し,秋高し,秋
280,帆柱や秋高く日の旗翻る,秋高し,秋
281,秋高し鳶舞ひ沈む城の上,秋高し,秋
282,秋高き椎の梢に日蝕せり,秋高し,秋
283,秋高き椎の木末に日蝕す,秋高し,秋
284,秋高き天文臺のともしかな,秋高し,秋
285,秋高く馬肥えにけり佐野の里,秋高し,秋
286,秋高く花車空に竝ぶ城の北,秋高し,秋
287,水仙の生えそろふたる九月哉,九月,秋
288,花もなし實もなし枇杷の九月哉,九月,秋
289,乘懸に九月盡きたり宇都の山,九月尽,秋
290,晝中や石に蟲鳴く九月盡,九月尽,秋
291,易を點し兌の卦に到り九月盡,九月尽,秋
292,易を點して兌の卦に到り九月盡,九月尽,秋
293,長月は十六夜といはで哀れなり,長月,秋
294,十月の櫻咲くなり幼稚園,十月,秋
295,十月の鶴見つけたり田子の浦,十月,秋
296,十月の畠に赤し蕎麥の莖,十月,秋
297,十月のやもめになりし螽かな,十月,秋
298,十月や鳶舞ひかゝる晝の月,十月,秋
299,十月の海は凪いだり蜜柑船,十月,秋
300,十月の海は帆勝に舟勝に,十月,秋
301,十月の雀飛びこむほこら哉,十月,秋
302,十月の鳶も烏も出でにけり,十月,秋
303,十月の日和に掛けし晩稲哉,十月,秋
304,十月や鳩米ひろふ藏の前,十月,秋
305,十月や畑は梨の返り花,十月,秋
306,雀ともばけぬ御代なり大蛤,雀蛤となる,夏
307,蛤になるか雀の聲かなし,雀蛤となる,夏
308,舌切られて雀蛤とならん思ひ,雀蛤となる,夏
309,成佛の蛤となる雀かな,雀蛤となる,夏
310,雀海に入り藤太龍宮より歸る,雀蛤となる,夏
311,雀蛤となりぬ此夕蜃氣樓,雀蛤となる,夏
312,鳥さしの蛤賣に問ひけらく,雀蛤となる,夏
313,鳥さしの蛤賣になりもせで,雀蛤となる,夏
314,糊なめて蛤になる雀哉,雀蛤となる,夏
315,蛤殻に前の世を鳴く友雀,雀蛤となる,夏
316,蛤になりすまして居る雀哉,雀蛤となる,夏
317,蛤になりそこねてや稻雀,雀蛤となる,夏
318,君が代も二百十日は荒れにけり,二百十日,秋
319,我背戸に二百十日の茄子哉,二百十日,秋
320,内海や二百十日の釣小舟,二百十日,秋
321,大佛に二百十日もなかりけり,二百十日,秋
322,足柄や二百十日の雲歸る,二百十日,秋
323,有明や二百十日の二十日月,二百十日,秋
324,籠の虫二百十日も知らずして,二百十日,秋
325,雲走り雲追ひ二百十日哉,二百十日,秋
326,こけもせで二百十日の鶏頭哉,二百十日,秋
327,薄の穂二百十日も過ぎにけり,二百十日,秋
328,地震さへまじりて二百十日哉,二百十日,秋
329,とにかくに殘暑も二百十日哉,二百十日,秋
330,二百十日異國の船のはいりけり,二百十日,秋
331,端居して二百十日のながめかな,二百十日,秋
332,日の照りて風吹く二百十日哉,二百十日,秋
333,前あれのつづきに二百十日哉,二百十日,秋
334,休暇盡きて二百十日の船出かな,二百十日,秋
335,朝寒き背中吹かるゝ野風哉,朝寒,秋
336,朝寒の背中吹かるゝ野風哉,朝寒,秋
337,朝寒やちゞみあがりし衣の皺,朝寒,秋
338,朝寒や青菜ちらばる市の跡,朝寒,秋
339,朝寒や看板殘る氷店,朝寒,秋
340,朝寒し汁粉くふべき人の顏,朝寒,秋
341,朝寒や嵐に向ふこそ走り,朝寒,秋
342,朝寒や警報かけし村役場,朝寒,秋
343,朝寒や筑波を見んと立ち出る,朝寒,秋
344,朝寒や苫舟何を焚く煙,朝寒,秋
345,朝寒や走りぬけたる寺の庭,朝寒,秋
346,獸の鼾聞ゆる朝寒ミ,朝寒,秋
347,朝寒の風が吹くなり雪の不二,朝寒,秋
348,朝寒の雀啼くなり忍竹,朝寒,秋
349,朝寒のはらりはらりと根笹かな,朝寒,秋
350,朝寒の旭を待つ人や舟のへり,朝寒,秋
351,朝寒や起て廊下を徘徊す,朝寒,秋
352,朝寒や今日の天氣を啼く雀,朝寒,秋
353,朝寒や蘇鐡見に行く妙國寺,朝寒,秋
354,朝寒や起つて廊下を徘徊す,朝寒,秋
355,朝寒やたのもとひゞく内玄關,朝寒,秋
356,朝寒やひとり墓前にうづくまる,朝寒,秋
357,朝寒を日に照らさるゝ首途哉,朝寒,秋
358,昇る日や朝寒の松に雀鳴く,朝寒,秋
359,藪陰に石切る音の朝寒し,朝寒,秋
360,朝寒の笹原走る兎かな,朝寒,秋
361,朝寒の空青々とうつりけり,朝寒,秋
362,朝寒の竹と芭蕉と蘇鐡哉,朝寒,秋
363,朝寒の日に光りたる小松哉,朝寒,秋
364,朝寒のわれさきがけしあら湯哉,朝寒,秋
365,朝寒み拔刄にさはる塵もなし,朝寒,秋
366,朝寒や雨戸あくれば日の光,朝寒,秋
367,朝寒や上野の森に旭のあたる,朝寒,秋
368,朝寒や虚空に楔打つ響,朝寒,秋
369,朝寒や小僧ほがらかに經を讀む,朝寒,秋
370,朝寒や地を離れたる駒の足,朝寒,秋
371,朝寒や禰宜のさゝぐる白和幣,朝寒,秋
372,朝寒や箒取りたる心もち,朝寒,秋
373,朝寒や紫の雲消えて行く,朝寒,秋
374,朝寒の撃劍はやる城下哉,朝寒,秋
375,朝寒や木曾に脚絆の旅心,朝寒,秋
376,朝寒や脚絆に木曾の旅心,朝寒,秋
377,朝寒や大魚動かず淵の底,朝寒,秋
378,朝寒や緑透いて見ゆ障子窓,朝寒,秋
379,朝寒や木魚打ちやんで履の音,朝寒,秋
380,水瓶に茶碗落すや朝寒み,朝寒,秋
381,朝寒ヤ鼻血オサヘシ旅ノ人,朝寒,秋
382,干瓢ノ肌ヘウツクシ朝寒ミ,朝寒,秋
383,痩骨ヲサスル朝寒夜寒カナ,朝寒,秋
384,秋寒し蝙蝠傘は杖につく,秋寒,秋
385,秋寒し眼の光る鬼女の面,秋寒,秋
386,雨晴れてうれしき秋の寒さ哉,秋寒,秋
387,澁柿は澁にとられて秋寒し,秋寒,秋
388,澁柿や澁に取られて秋寒し,秋寒,秋
389,じゞんこのあたりに秋の寒さかな,秋寒,秋
390,秋寒し佛にそゝげ般若湯,秋寒,秋
391,肌寒や馬のいなゝく屋根の上,肌寒,秋
392,肌寒やふじをまきこむ波の音,肌寒,秋
393,お守りの辨天賣て肌寒し,肌寒,秋
394,肌寒み寐ぬよすがらや温泉の匂ひ,肌寒,秋
395,肌寒や抱籠はなすきのふけふ,肌寒,秋
396,牙は折れ毛は兀げて象の肌寒し,肌寒,秋
397,肌寒み紅さむる襦袢哉,肌寒,秋
398,肌寒み三十棒をくらひけり,肌寒,秋
399,肌寒や子の可愛さを抱きしめる,肌寒,秋
400,風引くな肌寒頃の臍の穴,肌寒,秋
401,砂川や淺瀬に魚の肌寒し,肌寒,秋
402,肌寒や弓引き習ふ小殿原,肌寒,秋
403,おぼこ氣の肌寒やともいひがてに,肌寒,秋
404,經を講ず肌寒きこと五十年,肌寒,秋
405,肌寒や人劍を拔いて吾に逼る,肌寒,秋
406,肌寒や湯ぬるうして人こぞる,肌寒,秋
407,肌寒み白根見に出る町はづれ,肌寒,秋
408,肌寒や白根見に出る町はづれ,肌寒,秋
409,色はげし土人形の肌寒し,肌寒,秋
410,胡粉兀し人形や土の肌寒み,肌寒,秋
411,肌寒や石屋の門の石佛,肌寒,秋
412,蚤蝨へつて浪人のうそ寒し,うそ寒,冬
413,ひらりしやらり一ツ葉ゆれてうそ寒し,うそ寒,冬
414,きぬきぬや柳の風のうそ寒し,うそ寒,冬
415,うそ寒の誠を泣くや小傾城,うそ寒,冬
416,うそ寒や樵夫下り來る手向山,うそ寒,冬
417,うそ寒や綿入着たる小大名,うそ寒,冬
418,うそ寒き暗夜美人に逢着す,うそ寒,冬
419,うそ寒み顏知らぬ人と相對す,うそ寒,冬
420,やゝ寒み鷲の身振ひ羽振ひ,漸寒,秋
421,やゝ寒み襟を正して坐りけり,漸寒,秋
422,やゝ寒み机に向ふ背くゝまり,漸寒,秋
423,やゝ寒や机に向ふ背のかゞみ,漸寒,秋
424,やゝ寒み朝顏の花小くなる,漸寒,秋
425,やゝ寒みちりけ打たする温泉哉,漸寒,秋
426,やゝ寒み灯による虫もなかりけり,漸寒,秋
427,調練の大鼓聞ゆる稍寒み,漸寒,秋
428,やゝ寒み文彦先生髯まだら,漸寒,秋
429,牛一つおくるゝ秋の夕哉,秋の夕,秋
430,號外を賣り行く秋の夕哉,秋の夕,秋
431,水流れ雲行く秋の夕かな,秋の夕,秋
432,野ざらしに鳥立つ秋の夕かな,秋の夕,秋
433,婆々が來て灯ともす秋の夕かな,秋の夕,秋
434,灯ともして秋の夕を淋しがる,秋の夕,秋
435,まゝ事の相手をしたり秋の夕,秋の夕,秋
436,道ばたの佛も秋の夕かな,秋の夕,秋
437,夕榮の中にきらきら秋の城,秋の夕,秋
438,夕飯の灯をともしけり寺の秋,秋の夕,秋
439,秋夕柱鳴る庵に事あらん,秋の夕,秋
440,羽織著る秋の夕のくさめ哉,秋の夕,秋
441,萩刈りて芒に秋の夕哉,秋の夕,秋
442,鶯も鴨の巣にすむ秋の暮,秋の暮,秋
443,鴫たちて澤に人なし秋のくれ,秋の暮,秋
444,遊ふ子のひとり歸るや秋のくれ,秋の暮,秋
445,僧一人薄の中や秋のくれ,秋の暮,秋
446,その鐘をわれに撞かせよ秋の暮,秋の暮,秋
447,たち魚ややゝさびまさる秋の暮,秋の暮,秋
448,秋のくれ壁見るのでもなかりけり,秋の暮,秋
449,秋のくれ鱸を釣れば面白し,秋の暮,秋
450,稻妻のかほをはしるや秋のくれ,秋の暮,秋
451,思ひきつて見れは見るほと秋のくれ,秋の暮,秋
452,案山子ものいはゞ猶さびしいそ秋の暮,秋の暮,秋
453,案山子物言て猶淋しぞ秋の暮,秋の暮,秋
454,傾城にまことありけり秋のくれ,秋の暮,秋
455,さびしさや一人にあまる秋のくれ,秋の暮,秋
456,さびしさを鳴子にひくや秋のくれ,秋の暮,秋
457,さひしさを林にひくや秋のくれ,秋の暮,秋
458,猿曳は妻も子もなし秋のくれ,秋の暮,秋
459,猿ひきを猿のなぶるや秋のくれ,秋の暮,秋
460,順禮の御詠歌たうと秋のくれ,秋の暮,秋
461,順禮ハ花の臺と歌ひけり秋のくれ,秋の暮,秋
462,床の間の達磨にらむや秋のくれ,秋の暮,秋
463,何とせん我のみならねはあきのくれ,秋の暮,秋
464,何と見たぬしの心ぞあきのくれ,秋の暮,秋
465,鷄のゆかへ上りぬ秋のくれ,秋の暮,秋
466,福祿の頭さひしやあきのくれ,秋の暮,秋
467,古里や都見てきて秋のくれ,秋の暮,秋
468,山里やみやこ見て來て秋のくれ,秋の暮,秋
469,よそながら浮世もしらず秋のくれ,秋の暮,秋
470,秋のくれかゞしにかゝる鳴子繩,秋の暮,秋
471,秋のくれ見ゆる迄見るふしの山,秋の暮,秋
472,秋のくれ畫にかいてさへ人もなし,秋の暮,秋
473,一日は何をしたやら秋の暮,秋の暮,秋
474,押しかけて餘所でめしくふ秋のくれ,秋の暮,秋
475,烏來て鳥居つゝくや秋のくれ,秋の暮,秋
476,桑の葉は蟲もくはずに秋くれぬ,秋の暮,秋
477,傾城に電話をかけん秋のくれ,秋の暮,秋
478,此頃はどうやら悲し秋のくれ,秋の暮,秋
479,金堂の鐘のうなりや秋の暮,秋の暮,秋
480,西行のふじにものいふ秋のくれ,秋の暮,秋
481,酒なしに肉くふ人や秋のくれ,秋の暮,秋
482,猿一ツ笠きて行くや秋の暮,秋の暮,秋
483,三人が笑ふて秋のくれにけり,秋の暮,秋
484,杉の木のによつきと高し秋の暮,秋の暮,秋
485,鱆置いたやうな山あり秋のくれ,秋の暮,秋
486,達磨殿踊り出したり秋のくれ,秋の暮,秋
487,東京に人のへったり秋のくれ,秋の暮,秋
488,泥棒の達磨に似たり秋の暮,秋の暮,秋
489,何としたわれの命そ秋の暮,秋の暮,秋
490,鷄の塒にすくむや秋のくれ,秋の暮,秋
491,鷄の塒に小さし秋のくれ,秋の暮,秋
492,灯ともせば灯に力なし秋の暮,秋の暮,秋
493,秋のくれ哀れはとかく金にあり,秋の暮,秋
494,秋のくれまぎらかさんと出て歩行,秋の暮,秋
495,秋のくれ屋根に烏の評議哉,秋の暮,秋
496,秋のくれ我身の上に風ぞ吹く,秋の暮,秋
497,秋のくれ女を見れば猶淋し,秋の暮,秋
498,あどけなく笑ふ顏さへ秋のくれ,秋の暮,秋
499,いたづらな子は寐入けり秋のくれ,秋の暮,秋
500,絲引て人躍らすや秋のくれ,秋の暮,秋
501,命には何事もなし秋のくれ,秋の暮,秋
502,牛引て歸る女や秋の暮,秋の暮,秋
503,うつくしう淋しき虹や秋のくれ,秋の暮,秋
504,海ひたす入日淋しや秋のくれ,秋の暮,秋
505,かゝりうどの飯時寒し秋のくれ,秋の暮,秋
506,顏痩せて脉のかすかに秋のくれ,秋の暮,秋
507,顏痩せて脈もかすかに秋のくれ,秋の暮,秋
508,金屏風傾城こもる秋の暮,秋の暮,秋
509,栗飯の月見は淋し秋の暮,秋の暮,秋
