ID,Haiku,Tokens,IDs
39,六日はや睦月は古りぬ雨と風,"['6/ロク/六/名詞', '日/ヒ/日/接尾辞', '早/ハヤ/はや/副詞', '睦月/ムツキ/睦月/名詞', 'は/ワ/は/助詞', '古い/フルイ/古い/形容詞', 'り/リ/り/助動詞', 'ず/ズ/ぬ/助動詞', '雨/アメ/雨/名詞', 'と/ト/と/助詞', '風/カゼ/風/名詞']","[192, 193, 194, 195, 43, 196, 41, 70, 103, 67, 186]"
40,山国の年端月なる竃火かな,"['山国/ヤマクニ/山国/名詞', 'の/ノ/の/助詞', '年端/トシハ/年端/名詞', '月/ツキ/月/名詞', 'なり/ナリ/なり/助動詞', '竃/カマド/竃/名詞', '火/ヒ/火/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[197, 18, 198, 115, 136, 199, 200, 27, 28]"
41,街路樹に旧正月の鸚鵡館,"['街路/ガイロ/街路/名詞', '樹/キ/樹/接尾辞', 'に/ニ/に/助詞', '旧/キュー/旧/名詞', '正月/ショーガツ/正月/名詞', 'の/ノ/の/助詞', '鸚鵡/オーム/鸚鵡/名詞', '館/タテ/館/接尾辞']","[201, 202, 21, 203, 204, 18, 205, 206]"
42,ふるさとや旧正月の雪籠り,"['古里/フルサト/ふるさと/名詞', 'や/ヤ/や/助詞', '旧/キュー/旧/名詞', '正月/ショーガツ/正月/名詞', 'の/ノ/の/助詞', '雪/ユキ/雪/名詞', '籠もり/コモリ/籠り/名詞']","[207, 19, 203, 204, 18, 29, 208]"
43,道ばたに旧正月の人立てる,"['道端/ミチバタ/道ばた/名詞', 'に/ニ/に/助詞', '旧/キュー/旧/名詞', '正月/ショーガツ/正月/名詞', 'の/ノ/の/助詞', '人/ヒト/人/名詞', '立てる/タテル/立てる/動詞']","[209, 21, 203, 204, 18, 210, 40]"
44,如月を縞の羽織の礼者かな,"['如月/キサラギ/如月/名詞', 'を/ヲ/を/助詞', '縞/シマ/縞/名詞', 'の/ノ/の/助詞', '羽織/ハオリ/羽織/名詞', 'の/ノ/の/助詞', '礼者/レーシャ/礼者/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[211, 31, 212, 18, 213, 18, 214, 27, 28]"
45,二月礼者見し綿虫のわづかかな,"['2/ニ/二/名詞', '月/ツキ/月/名詞', '礼者/レーシャ/礼者/名詞', '見る/ミル/見る/動詞', 'き/キ/き/助動詞', '綿虫/メンチュー/綿虫/名詞', 'の/ノ/の/助詞', '僅か/ワズカ/わづか/形状詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[114, 115, 214, 215, 82, 216, 18, 217, 27, 28]"
46,老夫婦の引き出だされし絵踏かな,"['老/ロー/老/接頭辞', '夫婦/フーフ/夫婦/名詞', 'の/ノ/の/助詞', '引く/ヒク/引く/動詞', '出だす/デダス/出だす/動詞', 'れる/レル/れる/助動詞', 'し/シ/し/助詞', '絵踏み/エフミ/絵踏/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[218, 219, 18, 220, 221, 222, 223, 224, 27, 28]"
47,絵踏して生きのこりたる女かな,"['絵踏み/エフミ/絵踏/名詞', '為る/ナル/する/動詞', 'て/テ/て/助詞', '生きる/イキル/生きる/動詞', '残る/ノコル/のこる/動詞', 'たり/タリ/たり/助動詞', '女/オンナ/女/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[224, 16, 39, 225, 226, 33, 227, 27, 28]"
48,初午や物種売に日の当る,"['初午/ハツウマ/初午/名詞', 'や/ヤ/や/助詞', '物種/モノダネ/物種/名詞', '売り/ウリ/売/接尾辞', 'に/ニ/に/助詞', '日/ヒ/日/名詞', 'の/ノ/の/助詞', '当たる/アタル/当る/動詞']","[228, 19, 229, 230, 21, 231, 18, 232]"
49,初午や禰宜に化けたる庄屋殿,"['初午/ハツウマ/初午/名詞', 'や/ヤ/や/助詞', '祢宜/ネギ/禰宜/名詞', 'に/ニ/に/助詞', '化け/バケ/化け/名詞', 'たり/タリ/たり/助動詞', '庄屋/ショーヤ/庄屋/名詞', '殿/シンガリ/殿/接尾辞']","[228, 19, 233, 21, 234, 33, 235, 236]"
50,初午や世話人の来て打つ太鼓,"['初午/ハツウマ/初午/名詞', 'や/ヤ/や/助詞', '世話/セワ/世話/名詞', '人/ヒト/人/接尾辞', 'の/ノ/の/助詞', '来る/クル/来る/動詞', 'て/テ/て/助詞', '打つ/ウツ/打つ/動詞', '太鼓/タイコ/太鼓/名詞']","[228, 19, 237, 238, 18, 69, 39, 239, 240]"
51,初午の祠ともりぬ雨の中,"['初午/ハツウマ/初午/名詞', 'の/ノ/の/助詞', '祠/ホコラ/祠/名詞', '灯る/トモル/ともる/動詞', 'ず/ズ/ぬ/助動詞', '雨/アメ/雨/名詞', 'の/ノ/の/助詞', '中/ナカ/中/名詞']","[228, 18, 241, 242, 70, 103, 18, 243]"
52,初午や都の春もきのふけふ,"['初午/ハツウマ/初午/名詞', 'や/ヤ/や/助詞', '都/ト/都/名詞', 'の/ノ/の/助詞', '春/ハル/春/名詞', 'も/モ/も/助詞', '昨日/キノー/きのふ/名詞', 'けふ/キョー/けふ/名詞']","[228, 19, 244, 18, 10, 11, 245, 246]"
53,昼月の淡島さまや針供養,"['昼/ヒル/昼/名詞', '月/ツキ/月/名詞', 'の/ノ/の/助詞', '淡島/アワシマ/淡島/名詞', '様/ヨー/さま/接尾辞', 'や/ヤ/や/助詞', '針/ハリ/針/名詞', '供養/クヨー/供養/名詞']","[79, 115, 18, 247, 248, 19, 249, 250]"
54,色あせし針山まつるねもごろに,"['色褪せる/イロアセル/色あせる/動詞', 'き/キ/き/助動詞', '針山/ハリヤマ/針山/名詞', 'まつる/マツル/まつる/動詞', 'ね/ネ/ね/助詞', 'も/モ/も/助詞', '頃/コロ/ごろ/名詞', 'に/ニ/に/助詞']","[251, 82, 252, 253, 254, 11, 64, 21]"
55,賃仕事ためて遊ぶや針供養,"['賃/チン/賃/名詞', '仕事/シゴト/仕事/名詞', 'ためる/タメル/ためる/動詞', 'て/テ/て/助詞', '遊ぶ/アソブ/遊ぶ/動詞', 'や/ヤ/や/助詞', '針/ハリ/針/名詞', '供養/クヨー/供養/名詞']","[255, 256, 257, 39, 258, 19, 249, 250]"
56,山焼やほのかにたてる一ツ鹿,"['山/ヤマ/山/名詞', '焼き/ヤキ/焼/接尾辞', 'や/ヤ/や/助詞', '仄か/ホノカ/ほのか/形状詞', 'だ/ダ/だ/助動詞', 'たてる/タテル/たてる/動詞', '1/イチ/一/名詞', 'つ/ツ/ツ/接尾辞', '鹿/シカ/鹿/名詞']","[83, 259, 19, 260, 9, 261, 180, 262, 263]"
57,山焼の茶屋に書きたる手紙かな,"['山/ヤマ/山/名詞', '焼き/ヤキ/焼/接尾辞', 'の/ノ/の/助詞', '茶屋/チャヤ/茶屋/名詞', 'に/ニ/に/助詞', '書く/カク/書く/動詞', 'たり/タリ/たり/助動詞', '手紙/テガミ/手紙/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[83, 259, 18, 264, 21, 60, 33, 265, 27, 28]"
58,山焼や賽の河原へ火のびたり,"['山/ヤマ/山/名詞', '焼き/ヤキ/焼/接尾辞', 'や/ヤ/や/助詞', '賽の河原/サイノカワラ/賽の河原/名詞', 'へ/エ/へ/助詞', '火/ヒ/火/名詞', 'の/ノ/の/助詞', 'びたり/ビタリ/びたり/副詞']","[83, 259, 19, 266, 267, 200, 18, 268]"
59,白雲や雪解の沢へうつる空,"['白雲/シラクモ/白雲/名詞', 'や/ヤ/や/助詞', '雪解/ユキゲ/雪解/名詞', 'の/ノ/の/助詞', '沢/サワ/沢/名詞', 'へ/エ/へ/助詞', 'うつる/ウツル/うつる/動詞', '空/ソラ/空/名詞']","[269, 19, 270, 18, 271, 267, 272, 273]"
60,雪消えて麦一寸の野づらかな,"['雪消え/ユキゲエ/雪消え/名詞', 'って/ッテ/て/助詞', '麦/ムギ/麦/名詞', '1/イチ/一/名詞', '寸/スン/寸/名詞', 'の/ノ/の/助詞', '野面/ノズラ/野づら/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[274, 275, 276, 180, 277, 18, 278, 27, 28]"
61,雪解や渡舟に馬のおとなしき,"['雪解/ユキゲ/雪解/名詞', 'や/ヤ/や/助詞', '渡舟/トシュー/渡舟/名詞', 'に/ニ/に/助詞', '馬/ウマ/馬/名詞', 'の/ノ/の/助詞', '大人/オトナ/おとな/名詞', 'しき/シキ/しき/助詞']","[270, 19, 279, 21, 280, 18, 281, 282]"
62,つやゝかに蔓の実さがる雪解かな,"['艶やか/アデヤカ/つややか/形状詞', 'だ/ダ/だ/助動詞', '蔓/ヅル/蔓/名詞', 'の/ノ/の/助詞', '実/ミ/実/名詞', '下がる/サガル/さがる/動詞', '雪解/ユキゲ/雪解/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[283, 9, 284, 18, 285, 286, 270, 27, 28]"
63,雪解川名山けづる響かな,"['雪解/ユキゲ/雪解/名詞', '川/カワ/川/名詞', '名山/メーザン/名山/名詞', 'け/ケ/け/助詞', 'つる/ツル/づる/名詞', '響/ヒビキ/響/接尾辞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[270, 287, 288, 289, 290, 291, 27, 28]"
64,雪汁のしの字に曲るかきねかな,"['雪/ユキ/雪/名詞', '汁/シル/汁/名詞', 'のし/ノシ/のし/名詞', 'の/ノ/の/助詞', '字/ジ/字/名詞', 'に/ニ/に/助詞', '曲がる/マガル/曲る/動詞', '垣根/カキネ/かきね/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[29, 292, 293, 18, 294, 21, 295, 296, 27, 28]"
65,川鴉雪しろ水をふるひけり,"['川烏/カワガラス/川鴉/名詞', '雪代/ユキダイ/雪しろ/名詞', '水/ミズ/水/名詞', 'を/ヲ/を/助詞', 'ふる/フル/ふる/動詞', '干る/ヒル/ひる/動詞', 'けり/ケリ/けり/助動詞']","[297, 298, 177, 31, 299, 300, 301]"
66,かうかうと雪代が目に眠られず,"['こう/コー/かう/副詞', 'こう/コー/かう/副詞', 'と/ト/と/助詞', '雪代/ユキダイ/雪代/名詞', 'が/ガ/が/助詞', '目/メ/目/名詞', 'に/ニ/に/助詞', '眠る/ネムル/眠る/動詞', 'れる/レル/れる/助動詞', 'ず/ズ/ず/助動詞']","[302, 302, 67, 303, 106, 304, 21, 305, 222, 3]"
67,掘りおこす人の屍や雪なだれ,"['掘る/ホル/掘る/動詞', '起こす/オコス/おこす/動詞', '人/ヒト/人/名詞', 'の/ノ/の/助詞', '屍/シカバネ/屍/名詞', 'や/ヤ/や/助詞', '雪/ユキ/雪/名詞', 'だ/ダ/だ/助動詞', '誰/ダレ/だれ/代名詞']","[306, 307, 210, 18, 308, 19, 29, 9, 309]"
68,雪なだれ妻は炉辺に居眠れり,"['雪/ユキ/雪/名詞', '雪崩/ナダレ/なだれ/名詞', '妻/ツマ/妻/名詞', 'は/ワ/は/助詞', '炉辺/ロヘン/炉辺/名詞', 'に/ニ/に/助詞', '居る/イル/居る/動詞', '眠る/ネムル/眠る/動詞', 'り/リ/り/助動詞']","[29, 310, 311, 43, 312, 21, 313, 305, 41]"
69,青天に音を消したる雪崩かな,"['青天/セーテン/青天/名詞', 'に/ニ/に/助詞', '音/オト/音/名詞', 'を/ヲ/を/助詞', '消す/ケス/消す/動詞', 'たり/タリ/たり/助動詞', '雪崩/ナダレ/雪崩/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[314, 21, 315, 31, 316, 33, 317, 27, 28]"
70,北山やしざりしざりて残る雪,"['北山/キタヤマ/北山/名詞', '椰子/ヤシ/やし/名詞', 'ざり/ザリ/ざり/副詞', '為る/ナル/する/動詞', 'ず/ズ/ず/助動詞', 'て/テ/て/助詞', '残る/ノコル/残る/動詞', '雪/ユキ/雪/名詞']","[318, 319, 320, 16, 3, 39, 321, 29]"
71,一枚の餅のごとくに雪残る,"['1/イチ/一/名詞', '枚/マイ/枚/接尾辞', 'の/ノ/の/助詞', '餅/モチ/餅/名詞', 'の/ノ/の/助詞', 'ごとし/ゴトシ/ごとし/助動詞', 'だ/ダ/だ/助動詞', '雪/ユキ/雪/名詞', '残る/ノコル/残る/動詞']","[180, 322, 18, 323, 18, 324, 9, 29, 321]"
72,雪残る汚れ／ ＼て石のごと,"['雪/ユキ/雪/名詞', '残る/ノコル/残る/動詞', '汚れ/ヨゴレ/汚れ/名詞', '//／///補助記号', ' /\u3000/ /空白', '\\/￥/\\/補助記号', 'で/デ/て/接続詞', '石/イシ/石/名詞', 'の/ノ/の/助詞', 'こと/コト/ごと/名詞']","[29, 321, 325, 118, 326, 119, 327, 328, 18, 329]"
73,草茎を包む葉もなき雪間かな,"['草/クサ/草/名詞', '茎/クキ/茎/接尾辞', 'を/ヲ/を/助詞', '包む/ツツム/包む/動詞', '葉/ハ/葉/名詞', 'も/モ/も/助詞', '無い/ナイ/なし/形容詞', '雪間/ユキマ/雪間/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[48, 330, 31, 331, 332, 11, 333, 334, 27, 28]"
74,春いまだ田毎の雪間／ ＼かな,"['春/ハル/春/名詞', '未だ/イマダ/いまだ/副詞', '田毎/タゴト/田毎/名詞', 'の/ノ/の/助詞', '雪間/ユキマ/雪間/名詞', '//／///補助記号', ' /\u3000/ /空白', '\\/￥/\\/補助記号', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[10, 59, 335, 18, 334, 118, 326, 119, 27, 28]"
